NAME,ARTIST,MOOD
Dil Dhadakne Do ,Joi Barua & Suraj Jagan,HAPPY
Ek Ladki Bheegi Bhaagi si,Kishore Kumar,HAPPY
What We,Diljeet Dosanjh,HAPPY
Happy Ending,Abhijeet Bhattacharya,HAPPY
Ratchet Happy Birthday,Drake,HAPPY
Love On ,Selena Gomez,HAPPY
I Know ?,Travis Scott,HAPPY
Liggi,Ritviz,HAPPY
Udd Gaye,Ritviz,HAPPY
Chalo Chalein,Ritviz,HAPPY
Baaraat,Ritviz,HAPPY
Sage,Ritviz,HAPPY
Aaj Na,Ritviz,HAPPY
Roz,Ritviz,HAPPY
Jeet,Ritviz,HAPPY
Thandi Hawa,Ritviz,HAPPY
Roshni,Ritviz,HAPPY
"Thank u, next",Ariana Grande,HAPPY
As I am ,Justin Bieber,HAPPY
Three little birds,Bob Marley and The Wailers,HAPPY
"Me Gustas Tu 

",Manu Chao,HAPPY
I don't want to talk about it,Rod Steward,HAPPY
Aha ki anondo akase batase,Anup Ghoshal,HAPPY
Namo Namo,Amit Trivedi,HAPPY
Dil Diyan Gallan,Atif Aslam,HAPPY
"Bol Har Har Har

","Mithoon, Mohit Chauhan, Sukhwinder Singh",HAPPY
Born to shine ,Diljit Dosanjh ,HAPPY
Zara Si dosti,Arijit Singh ,HAPPY
Love you zindegi artist ,Amit Trivedi and Jasleen Royal,HAPPY
Chaiyya chaiyaa,Sukhwinder singh,HAPPY
Ae Dil Hai Mushkil,Pritam,HAPPY
Unforgettable,Diljit dosanjh ,HAPPY
Jaag Uthe Hai Dard Purane,Nushrat fateh ali khan ,HAPPY
Holi Party Mix 2021,Badshah ,HAPPY
Sabaton,Christmas truce ,HAPPY
Kudi nu nachne de,Vishal ,HAPPY
There's nothing holding me back ,Shaun Mendes,HAPPY
House of fun,Madness,HAPPY
La bamba,Ritchie Valens,HAPPY
Tere Bina,Shreya Ghoshal,HAPPY
Chale Jaana,Armaan Malik,HAPPY
Tu Chahiye,Atif Aslam,HAPPY
Zindagi Aa Raha Hoon Main,Atif Aslam,HAPPY
Hoor,Atif Aslam,HAPPY
Paniyon Sa,Atif Aslam,HAPPY
Baarishein,Atif Aslam,HAPPY
Pehli Dafa,Atif Aslam,HAPPY
Tera Hua (Unplugged),Atif Aslam,HAPPY
Musafir,Atif Aslam,HAPPY
Dekhte Dekhte,Atif Aslam,HAPPY
O Sathii,Atif aslam,HAPPY
