search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Chill Vibes songs,Chill Music Playlist,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,1
1,Chill Vibes songs,Monday Mood ~ Morning Chill Mix 🍃 English songs chill music mix,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,2
1,Chill Vibes songs,Chill Hits & Chill Vibes - Best of Electronic / Pop Music,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,3
1,Chill Vibes songs,Spotify Playlist Chill Vibes,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,4
1,Chill Vibes songs,Chill EDM Playlist 2024 - Chill Songs 2024 English,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,5
1,Chill Vibes songs,Chill Weed Music (Get High Playlist),https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,6
1,Chill Vibes songs,Pop Chill Vibes,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,7
1,Chill Vibes songs,Chill Rap Vibes 2021,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,8
1,Chill Vibes songs,Best Chill Indie Songs: Top Indie & Alternative Indie Music (Playlist Updated in 2024),https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,9
1,Chill Vibes songs,"ＳＬＥＥＰＹ💤 Lofi To Listen At Night - Chill Vibes Music Playlist | Lofi Music To Put You In A Better Mood 💤 Sleeping Music, Stress Relief",https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,10
1,Chill Vibes songs,Best Morning Songs Playlist - Coffee Shop Music,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,11
1,Chill Vibes songs,Relaxing Melodies | Peaceful Tamil Songs,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,12
1,Chill Vibes songs,Best of drake late night vibes,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,13
1,Chill Vibes songs,Chill Vibes Playlist 📀 Soul Music,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,14
1,Chill Vibes songs,Soul music - chill vibe playlist,https://www.youtube.com/watch?v=PVTM9BIuydE&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,15
2,Melancholic Melodies songs,Melancholic But Beautiful Songs - Dream Pop,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,1
2,Melancholic Melodies songs,🙁 Melancholic Music (Royalty Free),https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,2
2,Melancholic Melodies songs,Best Sad Songs and Emotional Songs - Spotify Playlist 2024,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,3
2,Melancholic Melodies songs,Tamil Sad songs 💔😔,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,4
2,Melancholic Melodies songs,Bollywood Sad Songs,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,5
2,Melancholic Melodies songs,Greatest Sad Songs of All Time - Sad Music for Bad Days,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,6
2,Melancholic Melodies songs,"My Dear Melancholy,",https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,7
2,Melancholic Melodies songs,Best Sad Songs | Hindi,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,8
2,Melancholic Melodies songs,Feeling down😔- Christian Songs,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,9
