search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Chill Vibes songs,Chill Music Playlist,https://www.youtube.com/watch?v=fJHhVvtoHso&list=PLJuffiXxODfo7db32gdJEasEXXA_fBvcw,Chill Vibes: relaxation : stress,1
1,Chill Vibes songs,songs to vibe to,https://www.youtube.com/watch?v=lYoWuaw5nSk&list=PLPFzKsPt50V8azAzY0Sg2go23AL9nuAAF,Chill Vibes: relaxation : stress,2
1,Chill Vibes songs,Electro Chill (Taken from Spotify Playlist),https://www.youtube.com/watch?v=xhpudFvsMjU&list=PLNJAfDSqnN-JjFTZYtMz4INDcj6a3-X3v,Chill Vibes: relaxation : stress,3
1,Chill Vibes songs,Chill Beach - Surf Music,https://www.youtube.com/watch?v=oRdbvGgPPiw&list=PLD790D878D999E573,Chill Vibes: relaxation : stress,4
1,Chill Vibes songs,Feel good bollywood songs,https://www.youtube.com/watch?v=Cc_cNEjAh_Y&list=PL8U7gDbfLksNOQ-IbN_jfC9DVQYt4xXTo,Chill Vibes: relaxation : stress,5
1,Chill Vibes songs,Chill Rap Vibes 2021,https://www.youtube.com/watch?v=SsKT0s5J8ko&list=PL5F_lIxu0wUog5Ea5JvGm2LANEdduU9Rq,Chill Vibes: relaxation : stress,6
1,Chill Vibes songs,Soul music - chill vibe playlist,https://www.youtube.com/watch?v=9r59To6idrM&list=PLek_RD_wEOh82L64CS1ux80obkScZQErk,Chill Vibes: relaxation : stress,7
1,Chill Vibes songs,Monday Mood ~ Morning Chill Mix 🍃 English songs chill music mix,https://www.youtube.com/watch?v=iAw7mjgnyV4&list=PLFy6-6sLOuQslofJMHqxdw4teIE3OW4R8,Chill Vibes: relaxation : stress,8
1,Chill Vibes songs,Spotify Playlist Chill Vibes,https://www.youtube.com/watch?v=2b61ty3wbRg&list=PLcUsLiAHCnpj-yMWmbL-1KCBrzB_pNUs8,Chill Vibes: relaxation : stress,9
1,Chill Vibes songs,Chill Hits & Chill Vibes - Best of Electronic / Pop Music,https://www.youtube.com/watch?v=7i0gz1sVs4w&list=PL26eONL_J35mwzUtB7PSSz3e3Llmtz36G,Chill Vibes: relaxation : stress,10
1,Chill Vibes songs,Best Morning Songs Playlist - Coffee Shop Music,https://www.youtube.com/watch?v=RBumgq5yVrA&list=PLHwn8cKeb1J2TOechY-gogb9DZNwIwzIJ,Chill Vibes: relaxation : stress,11
1,Chill Vibes songs,Tropa Vibes Chill Songs,https://www.youtube.com/watch?v=HQdIOdP5hvM&list=PLdvReRVRB7vUBswCCOW5Z-whZXm9xikIs,Chill Vibes: relaxation : stress,12
1,Chill Vibes songs,"ＳＬＥＥＰＹ💤 Lofi To Listen At Night - Chill Vibes Music Playlist | Lofi Music To Put You In A Better Mood 💤 Sleeping Music, Stress Relief",https://www.youtube.com/watch?v=ff5lO8TkVX8&list=PL3Rd_Q1n-uElPgg-UE_yCRd0WuMN8Xpro,Chill Vibes: relaxation : stress,13
1,Chill Vibes songs,Chill Vibes Playlist 📀 Soul Music,https://www.youtube.com/watch?v=NmBwdtE1Nak&list=PLVaHAauGJY3GJvLVOlqGxp83qixjkrkKy,Chill Vibes: relaxation : stress,14
1,Chill Vibes songs,Beach Beats,https://www.youtube.com/watch?v=JlaMtLG0dl0&list=RDCLAK5uy_mC6cJlKJYzu5UqmrF-qIK9W8vJDxEwKFk&start_radio=1,Chill Vibes: relaxation : stress,15
2,Melancholic Melodies songs,Melancholic But Beautiful Songs - Dream Pop,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,1
2,Melancholic Melodies songs,🙁 Melancholic Music (Royalty Free),https://www.youtube.com/watch?v=AcOcYUuxL2A&list=PLfP6i5T0-DkIfO6yjk6ZCdkPuG_jsAI5y,Melancholic Melodies: sadness : melancholy,2
2,Melancholic Melodies songs,Best Sad Songs and Emotional Songs - Spotify Playlist 2024,https://www.youtube.com/watch?v=f4Y3b7un4LE&list=PLgzTt0k8mXzHcKebL8d0uYHfawiARhQja,Melancholic Melodies: sadness : melancholy,3
2,Melancholic Melodies songs,Best Sad Songs | Hindi,https://www.youtube.com/watch?v=SBWYGGDYmhg&list=PLHuHXHyLu7BGi-vR7X6j_xh_Tt9wy7pNA,Melancholic Melodies: sadness : melancholy,4
2,Melancholic Melodies songs,Sad English Songs,https://www.youtube.com/watch?v=YQHsXMglC9A&list=PLbgl9Fi469m1GwI2YGtVPc9wSYtDSB9ao,Melancholic Melodies: sadness : melancholy,5
2,Melancholic Melodies songs,Beautifully haunting songs,https://www.youtube.com/watch?v=u1j2LoW3P14&list=PLnFVJr9yzGpN5iCaTvxiYahklnRqPmoXS,Melancholic Melodies: sadness : melancholy,6
2,Melancholic Melodies songs,Best Sad Songs that Make You Cry - Romance Music Playlist,https://www.youtube.com/watch?v=J_ub7Etch2U&list=PLBO3y7nHyBTdntbqKGSrj4MHVY6kBgErl,Melancholic Melodies: sadness : melancholy,7
2,Melancholic Melodies songs,Depressing Rock Songs,https://www.youtube.com/watch?v=g8z-qP34-1Y&list=PLlOll-NAMPotWYOYkLqP4u16fERVfF56E,Melancholic Melodies: sadness : melancholy,8
2,Melancholic Melodies songs,"My Dear Melancholy,",https://www.youtube.com/watch?v=rsEne1ZiQrk&list=PLK2zhq9oy0K4yxwMmBPsXQ3NvaQSxw6rY,Melancholic Melodies: sadness : melancholy,9
2,Melancholic Melodies songs,Sad rock songs,https://www.youtube.com/watch?v=8295rOMvtQI&list=PL2tb4KBOS-tlw4Drtem0GCyKkUqfvwzp7,Melancholic Melodies: sadness : melancholy,10
2,Melancholic Melodies songs,the most beautiful sad movie scores,https://www.youtube.com/watch?v=AS3FXKCxDL4&list=PL2bD268n1uxkDQ2CZeygrYHjAIa0nWB61,Melancholic Melodies: sadness : melancholy,11
2,Melancholic Melodies songs,Best 90s Breakup Songs - Top Throwback Sad Love Songs 1990s (Old Breakup Music Playlist),https://www.youtube.com/watch?v=7x8wPt8xarE&list=PLGBuKfnErZlBX8muAoRnP548WoQ7LACdP,Melancholic Melodies: sadness : melancholy,12
2,Melancholic Melodies songs,Linkin Park's SOFT/SLOW SONGS,https://www.youtube.com/watch?v=Ve1LNJEIKUE&list=PLESyT432iYm7Q168zuJPX0bYw2vxMeE4j,Melancholic Melodies: sadness : melancholy,13
2,Melancholic Melodies songs,Playlist... The Most Beautiful & Famous French Songs!,https://www.youtube.com/watch?v=K5KAc5CoCuk&list=PLm1WqxbDXbNCHPH-IXRW0HUacK-xzBr6L,Melancholic Melodies: sadness : melancholy,14
2,Melancholic Melodies songs,Melancholic Violin,https://www.youtube.com/watch?v=bNrVFkBDte8&list=PLiE_sve5Xe_9IJYPqwCZ4wHuZLUBWMbn1,Melancholic Melodies: sadness : melancholy,15
3,Jazzy Nights songs,"Cozy Jazz Music & Bookstore Cafe Ambience with Relaxing Smooth Piano Jazz Music for Study, Sleeping",https://www.youtube.com/watch?v=HXPcGIWl8AU&list=PLtBqc4qrCw3HYBQfUcYuGa3q8bM_Zzz-z,Jazzy Nights: nostalgia : loneliness,1
3,Jazzy Nights songs,Jazzynite kompas tv,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,2
