search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Laid-back Lounge songs,Laid back sofa Pop,https://www.youtube.com/watch?v=YQHsXMglC9A&list=PLra2wdNFIeMIF0NtUU18_ShWqJY1bLcs3,Laid-back Lounge: ease : tension,1
1,Laid-back Lounge songs,Laid back songs,https://www.youtube.com/watch?v=OWlKZ6C7cDY&list=PLWTXyb1RLSJq11ylxKC0h6STXBZMFkggu,Laid-back Lounge: ease : tension,2
1,Laid-back Lounge songs,Chill Beach - Surf Music,https://www.youtube.com/watch?v=oRdbvGgPPiw&list=PLD790D878D999E573,Laid-back Lounge: ease : tension,3
1,Laid-back Lounge songs,COFFEE MUSIC 2024 ☕ CAFÉ LOUNGE SONGS,https://www.youtube.com/watch?v=uJ_1HMAGb4k&list=PLwHPDVxB8ZaJWr9kuppZKk9vABBSBv4jK,Laid-back Lounge: ease : tension,4
1,Laid-back Lounge songs,Space Jazz [Laid-Back Psychedelic Jazz-Funk],https://www.youtube.com/watch?v=cIwDLN2X6Rs&list=PLx2JqCFFPrNriJrtUQSGpG7_JOojyot_r,Laid-back Lounge: ease : tension,5
1,Laid-back Lounge songs,Chill Rap Vibes 2021,https://www.youtube.com/watch?v=SsKT0s5J8ko&list=PL5F_lIxu0wUog5Ea5JvGm2LANEdduU9Rq,Laid-back Lounge: ease : tension,6
1,Laid-back Lounge songs,Laid Back Jazz Restaurant 🍷 Relaxing Soft Piano Jazz Music - Smooth Exquisite Sax Jazz BGM Music,https://www.youtube.com/watch?v=K7pRLBusv2M&list=PL4F_rVKwyCV-lZYcHw2dJ9KXdL37dxJ_y,Laid-back Lounge: ease : tension,7
1,Laid-back Lounge songs,Laid Back Lounge,https://www.youtube.com/watch?v=HftoyqKLor8&list=PLzs1262cMEwM3-U3jAlnL_YKlxrSs-E9a,Laid-back Lounge: ease : tension,8
1,Laid-back Lounge songs,Laid back lounge,https://www.youtube.com/watch?v=JwBjhBL9G6U&list=PLkYE3ZmIIL_WH8bn5svV2OmCHWtbBynkj,Laid-back Lounge: ease : tension,9
1,Laid-back Lounge songs,laid back lounge music,https://www.youtube.com/watch?v=6q-YCaHmS4A&list=PLVEx04iMVlfAU_m1p4mIRU3eWUheagtzp,Laid-back Lounge: ease : tension,10
1,Laid-back Lounge songs,Chill lounge bar laid back music,https://www.youtube.com/watch?v=111VxgGRZQQ&list=PLHF4RYzGb9ozPjS5zITgSKCIi7T6NiCTi,Laid-back Lounge: ease : tension,11
1,Laid-back Lounge songs,Gentle Intimate Mood / Laid-back Lounge Bar,https://www.youtube.com/watch?v=tFH9rkJ3FRU&list=PLFwgVfnEOf96my3AfIPnBYdM3eNtLSsyX,Laid-back Lounge: ease : tension,12
1,Laid-back Lounge songs,Laid Back Lounge,https://www.youtube.com/watch?v=-Ef3vKpPakU&list=PLmtVG1jSNML23s39n1wn23lJhBTi3RX3X,Laid-back Lounge: ease : tension,13
1,Laid-back Lounge songs,Laid-Back Grooves: Chill Out and Unwind with Relaxing Music,https://www.youtube.com/watch?v=ZA82iiF_MxU&list=PLiPjstH00Vk1aumilpPsId4yt_kujjtFa,Laid-back Lounge: ease : tension,14
1,Laid-back Lounge songs,The Laidback Lounge playlist,https://www.youtube.com/watch?v=ozjmUb2lgrI&list=PLmEH7x3fGx535PMfnUTVm3qM-DE1J-mtw,Laid-back Lounge: ease : tension,15
2,Sentimental Serenade songs,Romantic Ballads: Best Romantic Songs of All Time (Music Playlist Updated in 2024),https://www.youtube.com/watch?v=lp-EO5I60KA&list=PL64G6j8ePNureM8YCKy5nRFyzYf8I2noy,Sentimental Serenade: sentimentality : apathy,1
2,Sentimental Serenade songs,Christian love songs for couples,https://www.youtube.com/watch?v=sIdnp0z0OCA&list=PLOMW7D86Lz9KeU3Bsm6uC_Uxm5oQjlpsk,Sentimental Serenade: sentimentality : apathy,2
2,Sentimental Serenade songs,"Best Country Love Songs - Over 100 of the All-Time Hottest, Most Romantic Love Songs",https://www.youtube.com/watch?v=rItv9i6c7AY&list=PLLDVfSPfze0vYOLuGg22o3F0ohSmcnOhl,Sentimental Serenade: sentimentality : apathy,3
2,Sentimental Serenade songs,1950s Love Songs,https://www.youtube.com/watch?v=EpBjgQlT_jA&list=PLNDhBcjuPp0-UCSML4DxFqqc5WN4aGcW1,Sentimental Serenade: sentimentality : apathy,4
2,Sentimental Serenade songs,Top 100 Beautiful Wedding Songs,https://www.youtube.com/watch?v=sIdnp0z0OCA&list=PLyH9jpsnMWobdpU875NHXaZ4t3AWGuM--,Sentimental Serenade: sentimentality : apathy,5
2,Sentimental Serenade songs,The Best 80s LOVE SONGS,https://www.youtube.com/watch?v=YOHopl2xPj0&list=PLWmVt_rgUljE8rhnsS8Hn70oAhwldkGi2,Sentimental Serenade: sentimentality : apathy,6
2,Sentimental Serenade songs,old italian songs,https://www.youtube.com/watch?v=H0Srb7Qv4Qc&list=PLD3250AD7AA7F7F12,Sentimental Serenade: sentimentality : apathy,7
2,Sentimental Serenade songs,Beautiful Pop Ballads of All Time - Best Ballad Love Songs Playlist (Updated in 2024),https://www.youtube.com/watch?v=lp-EO5I60KA&list=PL64G6j8ePNupLwEYEHhcc9WffXyHvXEin,Sentimental Serenade: sentimentality : apathy,8
2,Sentimental Serenade songs,100 Most Uplifting Songs Ever,https://www.youtube.com/watch?v=Sv6dMFF_yts&list=PLvPjBbFpr-O1azdoLQpxSt9nX5twB3kky,Sentimental Serenade: sentimentality : apathy,9
2,Sentimental Serenade songs,Mothers day songs,https://www.youtube.com/watch?v=5Pze_mdbOK8&list=PLBw1emKkj21cy3vU1OhxJcvc5kEQw_pP_,Sentimental Serenade: sentimentality : apathy,10
2,Sentimental Serenade songs,Old SpanishLove Songs,https://www.youtube.com/watch?v=Sxkz9cTM9d8&list=PLp8SJjksEBLYDROlxU_EsTnVgzu9xsDHS,Sentimental Serenade: sentimentality : apathy,11
2,Sentimental Serenade songs,70's SOFT ROCK CLASSICS (for late nights & rainy days) cool collection of 70's singers and songwriters and classic love songs; the favorites,https://www.youtube.com/watch?v=hQB5qpxcixc&list=PLeXE5DUbWBqVKwNqJrX9ITPAEW_RC736H,Sentimental Serenade: sentimentality : apathy,12
2,Sentimental Serenade songs,Best Diva Songs. Birit Songs. Belt Out Songs. All Birit Queen Songs.,https://www.youtube.com/watch?v=Hat1Hc9SNwE&list=PLiy0XOfUv4hGxBPsPgJpSHTnSdj9hFrSY,Sentimental Serenade: sentimentality : apathy,13
2,Sentimental Serenade songs,1980s & 1990s Love Songs Playlist - Romantic Music from the 80s and 90s,https://www.youtube.com/watch?v=djV11Xbc914&list=PLGBuKfnErZlCh1_5T4W9IM6mlneu-SQmf,Sentimental Serenade: sentimentality : apathy,14
2,Sentimental Serenade songs,Jerry Murad - Sentimental Serenade,https://www.youtube.com/watch?v=_a4_FJOcz94&list=PLA2FBF870F8800006,Sentimental Serenade: sentimentality : apathy,15
3,Acoustic Affection songs,Christian love songs for couples,https://www.youtube.com/watch?v=sIdnp0z0OCA&list=PLOMW7D86Lz9KeU3Bsm6uC_Uxm5oQjlpsk,Acoustic Affection: intimacy : distance,1
3,Acoustic Affection songs,my favorite love songs ever!!!,https://www.youtube.com/watch?v=n4vu5Yg63TA&list=PL9C6A143D33F0DF85,Acoustic Affection: intimacy : distance,2
3,Acoustic Affection songs,Sensual Songs,https://www.youtube.com/watch?v=XYPLm20AoXo&list=PLcDCEKFpbIvwD34zNMTRE0xEusyH1Cijd,Acoustic Affection: intimacy : distance,3
3,Acoustic Affection songs,Summer Walker Instrumentals | JustAcoustic,https://www.youtube.com/watch?v=ru9b9dsfEhg&list=PLH3KjMTvh__NukvY4dxHAtdQ1Oz5LdtM6,Acoustic Affection: intimacy : distance,4
