search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Ballad Bouquet songs,Top 100 Beautiful Wedding Songs,https://www.youtube.com/watch?v=sIdnp0z0OCA&list=PLyH9jpsnMWobdpU875NHXaZ4t3AWGuM--,Ballad Bouquet: emotion : numbness,1
1,Ballad Bouquet songs,1950s Love Songs,https://www.youtube.com/watch?v=EpBjgQlT_jA&list=PLNDhBcjuPp0-UCSML4DxFqqc5WN4aGcW1,Ballad Bouquet: emotion : numbness,2
1,Ballad Bouquet songs,Greats Ballads of the Rolling stones,https://www.youtube.com/watch?v=RcZn2-bGXqQ&list=PLcNObqBo-85Jna8J84I6OSgfhaaX3AQXa,Ballad Bouquet: emotion : numbness,3
1,Ballad Bouquet songs,IU ballad songs,https://www.youtube.com/watch?v=NnRjwEhFU70&list=PLLLwArL4ETGkWya5dg5DJV9zh-9fba1-z,Ballad Bouquet: emotion : numbness,4
1,Ballad Bouquet songs,EDDIE ZONDI ROMANTIC BALLADS,https://www.youtube.com/watch?v=83OwOzUKKvU&list=PLRoGkNl-I3_wCMOnFx7Hrw_1ucHBMmUfN,Ballad Bouquet: emotion : numbness,5
1,Ballad Bouquet songs,Disney Love Songs,https://www.youtube.com/watch?v=ILRs2r6lcHY&list=PLiNVoBckLqLmJDW4-jX9G91kLyiHuoEIL,Ballad Bouquet: emotion : numbness,6
1,Ballad Bouquet songs,Best Acoustic Covers 2024,https://www.youtube.com/watch?v=W1QoGZeEnwg&list=PLzgNR90nQBQCmJdLinrmlo7_Ac8QLc6-i,Ballad Bouquet: emotion : numbness,7
1,Ballad Bouquet songs,Ed Sheeran Ballads,https://www.youtube.com/watch?v=bIB8EWqCPrQ&list=PLjjLu5qaKMp3rE8Y5OhbrNoNIexprZL4d,Ballad Bouquet: emotion : numbness,8
1,Ballad Bouquet songs,Best Love Duets. Duet Songs Playlist.,https://www.youtube.com/watch?v=bo_efYhYU2A&list=PLplXQ2cg9B_phK5eLAB6pRQKlvC2yJdCq,Ballad Bouquet: emotion : numbness,9
1,Ballad Bouquet songs,Best Sad Songs that Make You Cry - Romance Music Playlist,https://www.youtube.com/watch?v=J_ub7Etch2U&list=PLBO3y7nHyBTdntbqKGSrj4MHVY6kBgErl,Ballad Bouquet: emotion : numbness,10
1,Ballad Bouquet songs,Most Requested Ceremony Processional Bridal Entrance Songs | 2023,https://www.youtube.com/watch?v=QgaTQ5-XfMM&list=PLjWbcvsmNv07czv1lNufh3Sb2OroNIi_l,Ballad Bouquet: emotion : numbness,11
1,Ballad Bouquet songs,Greatest Piano Ballads of All Time,https://www.youtube.com/watch?v=YQHsXMglC9A&list=PLeyv2kwvvQ78m2xvoeXn9PB4jv2KXHHal,Ballad Bouquet: emotion : numbness,12
1,Ballad Bouquet songs,Best New Pop Ballad Songs 2024 ♫ Slow Pop Ballad Music,https://www.youtube.com/watch?v=SwDlodsNcIo&list=PLKUA473MWUv2D0ghT0HGk3TY82MSIQvyl,Ballad Bouquet: emotion : numbness,13
1,Ballad Bouquet songs,"Acoustic Piano Ballads - Beautiful Songs With Piano, Strings And Vocals",https://www.youtube.com/watch?v=XqoanTj5pNY&list=PLeyv2kwvvQ79WzyPn2plDCluHfhOlNIVB,Ballad Bouquet: emotion : numbness,14
1,Ballad Bouquet songs,Romantic Songs & Love Music: Romantic Ballads & Love Songs for Wedding Playlist,https://www.youtube.com/watch?v=9SIuOq7mNKQ&list=PL_jroc9felbPVuIsrIv30y9jpA6u3K34y,Ballad Bouquet: emotion : numbness,15
2,Enchanted Emotions songs,Enchanted Music Collection,https://www.youtube.com/watch?v=uiyNHYGXmj8&list=PLE9eVbX-64HwAdmzNfER7qK4YBDoSj7Wr,Enchanted Emotions: wonder : skepticism,1
2,Enchanted Emotions songs,"Specific DND music: Sad, emotional, enchanting, ascending",https://www.youtube.com/watch?v=-538BdoqYOo&list=PLQxoMR4whz1JjhzxO5uD0wIUwytWVQUTB,Enchanted Emotions: wonder : skepticism,2
2,Enchanted Emotions songs,🪐 Copyright Free Emotional Music,https://www.youtube.com/watch?v=XQaNaFtI11Q&list=PLfP6i5T0-DkKt8eo7u222EnUO4N7Q3raT,Enchanted Emotions: wonder : skepticism,3
2,Enchanted Emotions songs,"Enchanted Forest Ambience, Enchanted Fairy Forest, Enchanted Forest Music",https://www.youtube.com/watch?v=07IzcS3ZR3w&list=PLPe2IJjmL3kLHwkcyDHh5Vy6DjbYWN_WY,Enchanted Emotions: wonder : skepticism,4
2,Enchanted Emotions songs,Enchanting Music,https://www.youtube.com/watch?v=3rOtFevwHJw&list=PLgbssePDiskaB44mSG4zSoW-kogxWA5zd,Enchanted Emotions: wonder : skepticism,5
2,Enchanted Emotions songs,The Most Enchanting Songs!,https://www.youtube.com/watch?v=FJBkNiAPknY&list=PL81EA399F910C96B4,Enchanted Emotions: wonder : skepticism,6
2,Enchanted Emotions songs,Fantasy/enchantment/rooted Peter Gundry music,https://www.youtube.com/watch?v=vCsi-lxW4yM&list=PLhlfGPFtDCWUBzzNTCT79KufmyDSVrFqE,Enchanted Emotions: wonder : skepticism,7
2,Enchanted Emotions songs,Enchanting Music,https://www.youtube.com/watch?v=yXQlKrvXWuA&list=PLdFF7E3NpVHbm9vETYi4e5X6MCsk4FaLb,Enchanted Emotions: wonder : skepticism,8
2,Enchanted Emotions songs,*Enchanting Music*,https://www.youtube.com/watch?v=HSOtku1j600&list=PLq3wyvNzfqjqJwF_E6ez9ZaF75PR8LAJH,Enchanted Emotions: wonder : skepticism,9
2,Enchanted Emotions songs,Enchanted music,https://www.youtube.com/watch?v=Rqe_XXr5wHs&list=PLJN0bVIXLlT_eCH3lhAPjg83nFaNOpj7q,Enchanted Emotions: wonder : skepticism,10
2,Enchanted Emotions songs,Enchanting Feelings,https://www.youtube.com/watch?v=CK1Px_JHGww&list=PLICR1C_vJ4KNVfzqZOnBgks0pbykImiU3,Enchanted Emotions: wonder : skepticism,11
2,Enchanted Emotions songs,enchanted music💓,https://www.youtube.com/watch?v=QpQlhhlGqOc&list=PLWrDLPtop66nRhp1q2o9c7Ldvwu10UBGw,Enchanted Emotions: wonder : skepticism,12
2,Enchanted Emotions songs,Enchanted,https://www.youtube.com/watch?v=sz50jlTn8Do&list=PLX6VKah9X_2atFb0yUMIsxiJkRh8UkRCd,Enchanted Emotions: wonder : skepticism,13
2,Enchanted Emotions songs,Enchanted music,https://www.youtube.com/watch?v=9UglUjiJifA&list=PL5R9Co9m1POFiuawGVzBVclMKp_ZwcZ5z,Enchanted Emotions: wonder : skepticism,14
2,Enchanted Emotions songs,Enchanting music,https://www.youtube.com/watch?v=l7evSR9SMhc&list=PLudmivqslvcZ1_68kvCpUoj_MF6NWYe0f,Enchanted Emotions: wonder : skepticism,15
3,Lively Landscapes songs,Best Travel Songs - Spotify Playlist 2024,https://www.youtube.com/watch?v=3-sfGRswzq0&list=PLgzTt0k8mXzGjD1gQXkqC3bE0GzYwBnSD,Lively Landscapes: energy : lethargy,1
3,Lively Landscapes songs,copyright free nature video free download | copyright free nature video download | copyright free music,https://www.youtube.com/watch?v=bjxTIcuzB6k&list=PLe6YKWr4VVM1x2LIpiqmVvG4QgIvoDEdO,Lively Landscapes: energy : lethargy,2
3,Lively Landscapes songs,"Happy 80s Songs, 80s Playlist, Best 80s songs, Top 80s songs, songs that make you happy, smile, dance, sing-along.",https://www.youtube.com/watch?v=djV11Xbc914&list=PLAQ7nLSEnhWRxZ_BN6B85RF9rh4uFwsp8,Lively Landscapes: energy : lethargy,3
3,Lively Landscapes songs,The All-Time Best Hawaiian Music,https://www.youtube.com/watch?v=w_DKWlrA24k&list=PLlGte2at-EC63kC2lnp3LuTTLl5Ph2pxm,Lively Landscapes: energy : lethargy,4
3,Lively Landscapes songs,Top Music Videos and Songs from the 1950s and 1960s,https://www.youtube.com/watch?v=MggQSspSGU8&list=PLW4gZU2BEoN2-ngny0_NHUU_lOaM3X6tb,Lively Landscapes: energy : lethargy,5
3,Lively Landscapes songs,Cinematic Background Music,https://www.youtube.com/watch?v=AivyFZXT2ek&list=PLIILL6veL783kKkdiIybbxARNY9bAVQYe,Lively Landscapes: energy : lethargy,6
3,Lively Landscapes songs,Documentary No Copyright Music,https://www.youtube.com/watch?v=4JQASDpciNM&list=PL7pkSK1xbGD6Jua6GhFN72kClZfobdnCV,Lively Landscapes: energy : lethargy,7
3,Lively Landscapes songs,Indie India Spotify Playlist - Best Indie Artists India (Hindi Indie Music Playlist 2024-2025),https://www.youtube.com/watch?v=gJLVTKhTnog&list=PL1gfuz7ZYcaM2Z7sCGOWORCF0CGmonzOv,Lively Landscapes: energy : lethargy,8
3,Lively Landscapes songs,Uplifting background music,https://www.youtube.com/watch?v=buTr-t1vHVQ&list=PL9m_Cy3Lb8GpEUx4aIbAyrz5-yDJDxr2j,Lively Landscapes: energy : lethargy,9
3,Lively Landscapes songs,Real Estate No Copyright Music,https://www.youtube.com/watch?v=9z17MdPtBo8&list=PL7pkSK1xbGD5ANhnJZxZi14_KOKxzhxsz,Lively Landscapes: energy : lethargy,10
3,Lively Landscapes songs,Ukrainian Music 2024 - Top 100 Ukrainian Songs 2024 (Ukraine Mix 2024-2025),https://www.youtube.com/watch?v=hkXsoPZVvFE&list=PLtHTTULKxWlO5RMUb27zOZMwY_DYU3S4a,Lively Landscapes: energy : lethargy,11
3,Lively Landscapes songs,🤠 Copyright Free Adventure Music,https://www.youtube.com/watch?v=AHsnHv-wkus&list=PLfP6i5T0-DkLTWwznhWjQ1sm_GasKuMPY,Lively Landscapes: energy : lethargy,12
3,Lively Landscapes songs,Lively Landscape,https://www.youtube.com/watch?v=hsgMGbu12Xc&list=PL2GU3u3kmN-BQyCTr07Ju6HM6QZewXcfB,Lively Landscapes: energy : lethargy,13
3,Lively Landscapes songs,The Best Background Songs for GoPro Videos 2020,https://www.youtube.com/watch?v=cH4E_t3m3xM&list=PLEk4uBQ56bVYCMk3luOfuAMn3M4iYy4L8,Lively Landscapes: energy : lethargy,14
3,Lively Landscapes songs,Electric Violin Covers 2024 - Best Covers of Popular Songs - Best Pop Violin Music (Playlist Updated in 2024),https://www.youtube.com/watch?v=LF6rEyMAUz4&list=PLFVfow0fYmRmNTL5dD_QKedEwkavA6yiR,Lively Landscapes: energy : lethargy,15
4,Psychedelic Symphony songs,Classical Music for Psychedelic States,https://www.youtube.com/watch?v=o_xAkeO9WOo&list=PLgodtan1SIuiHQZc-Unud9ymBhA_73nno,Psychedelic Symphony: exploration : conventionality,1
4,Psychedelic Symphony songs,chill psychedelic music,https://www.youtube.com/watch?v=KxSd-l-urj8&list=PLbpi1rNmLvkn5EqX7tVAmccPGZVguNTz_,Psychedelic Symphony: exploration : conventionality,2
4,Psychedelic Symphony songs,Music for Psychedelic Therapy,https://www.youtube.com/watch?v=YhRybYyrNaI&list=PLWt_gYfbC9Vbbt8AsJtlgsjV0H9Vmhrbk,Psychedelic Symphony: exploration : conventionality,3
4,Psychedelic Symphony songs,Space Jazz [Laid-Back Psychedelic Jazz-Funk],https://www.youtube.com/watch?v=cIwDLN2X6Rs&list=PLx2JqCFFPrNriJrtUQSGpG7_JOojyot_r,Psychedelic Symphony: exploration : conventionality,4
4,Psychedelic Symphony songs,Instrumental Psychedelic Rock,https://www.youtube.com/watch?v=Ze4DVfHxS4o&list=PLcPhfPcl2wiYTIRRtyJxdX-4FsO3fGhzU,Psychedelic Symphony: exploration : conventionality,5
4,Psychedelic Symphony songs,"BEST Neo-Psychedelic Tracks (2022) ~ Neopsychedelic, Psychedelic & Psych Folk Playlist",https://www.youtube.com/watch?v=fK4s6yudJNg&list=PLk-hv2A7usN3ONTCOr9MBNHUZnIxf-nPP,Psychedelic Symphony: exploration : conventionality,6
4,Psychedelic Symphony songs,Modern Psychedelic Pop,https://www.youtube.com/watch?v=KN8nJFLu1Rk&list=PLwG00xEEyR9Fe4xwlQfuFVVBuBYeIe6wa,Psychedelic Symphony: exploration : conventionality,7
4,Psychedelic Symphony songs,Psilocybin Journeys (John Hopkins Study/ Bill Richards protocol complete playlist),https://www.youtube.com/watch?v=OgmlGMRUaxI&list=PLTJxCiiQKJlucPdnbKt1mhhFu_I5WBlai,Psychedelic Symphony: exploration : conventionality,8
4,Psychedelic Symphony songs,"Japanese Ambient, Minimalism, Kankyō Ongaku",https://www.youtube.com/watch?v=Bululwnj4ik&list=PLVFc6ovvwtnJtHzenEcoAV-LpVyKYgRnZ,Psychedelic Symphony: exploration : conventionality,9
4,Psychedelic Symphony songs,70s Obscure Folk / Progressive Folk / Psychedelic Folk,https://www.youtube.com/watch?v=DYVKGpl_rFI&list=PLqGHu9fu2Nr9xbjrk97Lc6YCKOGfjeKKs,Psychedelic Symphony: exploration : conventionality,10
4,Psychedelic Symphony songs,Psychedelic Orchestra,https://www.youtube.com/watch?v=SKvPSOeAiV0&list=PLLh_d2qLzqhDL5RLDxMrMRX9Vuud3criS,Psychedelic Symphony: exploration : conventionality,11
4,Psychedelic Symphony songs,Psychedelic Rock Modern,https://www.youtube.com/watch?v=dzy5ljvR08Q&list=PLtazNXjCT3dkRFTjoQGf6iMbyqPQoo941,Psychedelic Symphony: exploration : conventionality,12
4,Psychedelic Symphony songs,Surreal & psychedelic music videos,https://www.youtube.com/watch?v=4KdbzF-v3fA&list=PLBXO-yEpu7qegTVJ55s9Kj7dfmT8ldjIF,Psychedelic Symphony: exploration : conventionality,13
4,Psychedelic Symphony songs,Unknown 70's prog rock albums,https://www.youtube.com/watch?v=KI8b6GQ5C80&list=PLD953kKPGHodnTCCYfL99AF5clmDhvlKr,Psychedelic Symphony: exploration : conventionality,14
4,Psychedelic Symphony songs,Terence McKenna & Alan Watts In Psychedelic Music,https://www.youtube.com/watch?v=y8mg1c2zxwk&list=PLobEMHfBbtTYNjw5TrXdAqOURfwXjcW84,Psychedelic Symphony: exploration : conventionality,15
5,Tender Tunes songs,Tender best song/album,https://www.youtube.com/watch?v=iPdJM_7CgU8&list=PLRupB4rO7YtA5rX8AnKcsioR2ZPH5O2vR,Tender Tunes: gentleness : harshness,1
5,Tender Tunes songs,Tender,https://www.youtube.com/watch?v=rTIO-enLIYQ&list=PLaZOaPoed_BGwf730kEmPSPIzJ2kQ9A4-,Tender Tunes: gentleness : harshness,2
5,Tender Tunes songs,🐾 Tender Music (Royalty Free),https://www.youtube.com/watch?v=zWLiJmPLqZI&list=PLfP6i5T0-DkKi_ff8QOdO-M3-PmERbImR,Tender Tunes: gentleness : harshness,3
5,Tender Tunes songs,Sensual and Tender Love Songs,https://www.youtube.com/watch?v=9u7hGkL57N8&list=PLP8ezDaSv_CdBl3_Eg2GdEjr_FicIk_hs,Tender Tunes: gentleness : harshness,4
5,Tender Tunes songs,[No Copyright Music] Happy and Tender Music [Royalty Free],https://www.youtube.com/watch?v=CKiN21FSDyA&list=PLcoI9J21oTlBwL_FsECImRZVNvjc_9JSs,Tender Tunes: gentleness : harshness,5
