search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Harmony Haven songs,Harmony Haven Music,https://www.youtube.com/watch?v=bGUkO4PnirY&list=PL995w2kGp3FRxoschY_nivcV3P2Lhiku5,Harmony Haven: unity : discord,1
1,Harmony Haven songs,Harmony Haven,https://www.youtube.com/watch?v=kaiwHU2x968&list=PLNSOcw4yPS7tzD1yFD4qc5gd34ATQ2QVH,Harmony Haven: unity : discord,2
1,Harmony Haven songs,Harmony Haven,https://www.youtube.com/watch?v=LD12log9pmc&list=PLDefBzcQ0Y77zOWYVVrkO-rwre7TacFpT,Harmony Haven: unity : discord,3
1,Harmony Haven songs,harmony haven,https://www.youtube.com/watch?v=IWjbBSMsQJg&list=PL_WWr8TqSPn4ZCQTX8KcFr0YGpExLvo65,Harmony Haven: unity : discord,4
1,Harmony Haven songs,Harmony Haven: Exploring the Soundscape | Part 1: Prelude,https://www.youtube.com/watch?v=-0-25qwRgYg&list=PLhvdw0HsovM6CmvHzVdlDwJCcPuQkbRnm,Harmony Haven: unity : discord,5
1,Harmony Haven songs,Chill Harmony Haven,https://www.youtube.com/watch?v=39ZJt6NLDe8&list=PLZtKCq1W4ukMsQY0dBwZV8k_IEOyAvF9A,Harmony Haven: unity : discord,6
1,Harmony Haven songs,Harmony Haven: Melodic Escapes,https://www.youtube.com/watch?v=J25jHfjGa_A&list=PLQCprt0csgvMctT_AWw78-magEVE0WLGy,Harmony Haven: unity : discord,7
1,Harmony Haven songs,Harmony Haven: Melodic Escapes,https://www.youtube.com/watch?v=J25jHfjGa_A&list=PLQCprt0csgvPYIwqw2QiKxm56ZZy8HJWa,Harmony Haven: unity : discord,8
1,Harmony Haven songs,Harmony Haven: Melodic Escapes,https://www.youtube.com/watch?v=J25jHfjGa_A&list=PLQCprt0csgvMTHpqcJofsz1NGSQfXv8ge,Harmony Haven: unity : discord,9
1,Harmony Haven songs,Harmony Haven 🎶☁️🌀,https://www.youtube.com/watch?v=vmqBYb0-KjQ&list=PL9nyrjPoFQre78hKx8NkZYUNjSbygu7iR,Harmony Haven: unity : discord,10
1,Harmony Haven songs,Harmony Heaven,https://www.youtube.com/watch?v=6VuhEYL7APg&list=PLp6_QWqDFsYI0lvMzIARFEVj0GRL5LwGT,Harmony Haven: unity : discord,11
1,Harmony Haven songs,Harmony Haven: Diverse Melodies for Relaxation & Focus | Miwa,https://www.youtube.com/watch?v=j9hQsnaV1b0&list=PLMxdfritvAkF29h5Kb9wSfPyRcRaN7nYu,Harmony Haven: unity : discord,12
