artist_name,track_name,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
Mariah Carey,Loverboy,229173,2001,42,0.721,0.79,1,-4.125,1,0.124,0.183,0.0,0.1,0.821,103.141,SCARED
Eminem,Without Me,290320,2002,87,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,SCARED
Coldplay,Clocks,307879,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,SAD
Coldplay,Clocks,307879,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,SAD
Linkin Park,Numb,185586,2003,81,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,SAD
Eminem,Just Lose It,248680,2004,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,ANGRY
Green Day,Boulevard of Broken Dreams,261266,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,ANGRY
Eminem,Mockingbird,250760,2004,77,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,ANGRY
Kelly Clarkson,Since U Been Gone,188960,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,ANGRY
Timbaland,The Way I Are,179120,2007,80,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,HAPPY
Mumford & Sons,Little Lion Man,245173,2009,68,0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585,SCARED
Eminem,Love The Way You Lie,263373,2010,81,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,ANGRY
Kesha,TiK ToK,199693,2010,80,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,ANGRY
Swedish House Mafia,Save The World,213337,2011,65,0.507,0.665,0,-7.598,1,0.0474,0.0144,0.0,0.0759,0.4,126.879,ANGRY
Adele,Someone Like You,285240,2011,4,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,SAD
Azealia Banks,212,204956,2014,0,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017,HAPPY
Calvin Harris,Feel So Close - Radio Edit,206413,2012,79,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,ANGRY
Swedish House Mafia,Don't You Worry Child - Radio Edit,212862,2012,76,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,ANGRY
David Guetta,Titanium (feat. Sia),245040,2012,79,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,ANGRY
Avicii,Wake Me Up,247426,2013,6,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,ANGRY
OneRepublic,Counting Stars,257386,2014,62,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014,SCARED
Calvin Harris,Summer,224506,2014,21,0.603,0.861,4,-3.565,0,0.0325,0.0215,0.043,0.1,0.72,127.962,ANGRY
Tiësto,Red Lights,263890,2013,0,0.653,0.829,10,-4.783,1,0.0377,0.000739,1.5e-06,0.225,0.545,124.989,ANGRY
Coldplay,A Sky Full of Stars,267866,2014,80,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,HAPPY
The Neighbourhood,Daddy Issues,260173,2015,85,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,SAD
Selena Gomez,Same Old Love,229080,2015,69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,HAPPY
The Weeknd,Starboy,230453,2016,0,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,ANGRY
Alan Walker,Faded,212106,2018,78,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,ANGRY
Marshmello,Alone,273802,2016,71,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,ANGRY
Selena Gomez,Same Old Love,229080,2015,69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,HAPPY
Ed Sheeran,Shape of You,233712,2017,84,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,HAPPY
Imagine Dragons,Thunder,187146,2017,1,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,SCARED
Ed Sheeran,Perfect,263400,2017,85,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,HAPPY
Travis Scott,BUTTERFLY EFFECT,190677,2017,0,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.112,0.182,140.987,HAPPY
Imagine Dragons,Believer,204346,2017,1,0.779,0.787,10,-4.305,0,0.108,0.0524,0.0,0.14,0.708,124.982,ANGRY
Martin Garrix,Scared to Be Lonely,220883,2017,77,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,SCARED
Shawn Mendes,There's Nothing Holdin' Me Back,199440,2017,0,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,HAPPY
Imagine Dragons,Natural,189466,2018,80,0.704,0.611,2,-6.112,1,0.0409,0.217,0.0,0.0812,0.22,100.0,SCARED
Billie Eilish,lovely (with Khalid),200185,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,SAD
girl in red,we fell in love in october,184153,2018,82,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,SCARED
Marshmello,Happier,214289,2018,82,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,ANGRY
Lewis Capaldi,Someone You Loved,182160,2019,84,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,SAD
Billie Eilish,lovely (with Khalid),200185,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,SAD
Nikhil Banerjee,Raga Maluha Kalyan - Jod,172493,2012,23,0.322,0.567,2,-8.448,1,0.0266,0.817,0.924,0.133,0.465,103.231,HAPPY
Aaron Lewis,Forever,269867,2012,40,0.555,0.622,8,-5.741,1,0.0275,0.00887,4.48e-05,0.121,0.266,137.954,SAD
Calvin Harris,Feel So Close - Radio Edit,206413,2012,78,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,ANGRY
Swedish House Mafia,Don't You Worry Child - Radio Edit,212862,2012,80,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,ANGRY
Swedish House Mafia,Don't You Worry Child,403493,2012,61,0.632,0.88,2,-4.051,1,0.0463,0.0144,0.0021,0.118,0.338,129.007,ANGRY
Azealia Banks,1991,210479,2012,58,0.853,0.686,10,-8.314,0,0.268,0.0424,2.79e-06,0.0866,0.538,122.97,HAPPY
Kelly Clarkson,Since U Been Gone,188987,2012,47,0.661,0.76,0,-4.882,1,0.0334,0.00193,0.0589,0.116,0.425,131.0,ANGRY
Swedish House Mafia,Don't You Worry Child - Acoustic Version,257923,2012,56,0.554,0.792,11,-8.166,0,0.0309,0.406,0.000665,0.315,0.537,102.042,ANGRY
Swedish House Mafia,Save The World,410897,2012,47,0.654,0.737,0,-6.435,1,0.108,0.00355,0.000273,0.0807,0.223,127.001,ANGRY
Azealia Banks,212,203612,2012,40,0.832,0.773,11,-6.502,0,0.289,0.064,0.0,0.103,0.675,125.972,HAPPY
Mac DeMarco,My Kind of Woman,190846,2012,79,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,SCARED
deadmau5,October,443534,2012,27,0.67,0.736,10,-9.478,0,0.0446,0.285,0.899,0.0959,0.104,127.972,ANGRY
Swedish House Mafia,Save The World - Zedd Remix,381056,2012,34,0.636,0.687,0,-4.688,1,0.0501,0.000292,0.00791,0.0496,0.395,128.006,ANGRY
David Guetta,Titanium,238123,2012,41,0.599,0.637,0,-7.44,0,0.0747,0.16,0.000204,0.354,0.568,125.947,ANGRY
Cady Groves,Someone Like You,235907,2012,8,0.542,0.428,6,-8.125,0,0.0306,0.527,0.0,0.0924,0.3,146.176,SAD
Mumford & Sons,Little Lion Man - Live,268000,2012,31,0.295,0.683,5,-6.36,1,0.0347,0.121,6.24e-06,0.746,0.267,133.35,SCARED
Ahola,I Walk Alone,290267,2012,1,0.516,0.639,11,-6.948,0,0.0324,0.0241,0.000284,0.374,0.0862,112.484,ANGRY
Piyush Mishra,Aabroo,274907,2012,30,0.493,0.868,2,-4.281,1,0.407,0.657,1.12e-05,0.159,0.742,135.233,ANGRY
Alex G,Mary,197733,2012,71,0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958,SCARED
Alex G,Memory,172813,2012,48,0.489,0.407,8,-9.66,1,0.0245,0.55,0.87,0.11,0.254,102.563,SCARED
Beach House,On the Sea,332467,2012,47,0.247,0.521,3,-7.664,1,0.0334,0.725,0.0494,0.0938,0.176,102.276,SCARED
Alex G,Master,116440,2012,36,0.362,0.803,5,-4.159,1,0.0671,6.07e-05,0.931,0.0558,0.686,158.858,SCARED
