track_name,artist_name,MOOD,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,Unnamed: 0,track_id,time_signature,id,release_date
Irreplaceable,Zak Manley,SAD,227853,False,2007,70,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,"pop, R&B",,,,,
i love you,Billie Eilish,SAD,267160,False,2001,53,0.489,0.757,11,-4.062,0,0.0926,0.00981,0.0,0.234,0.567,168.004,"hip hop, pop, R&B",,,,,
lovely (with Khalid),"Billie Eilish, Khalid",SAD,200185,False,2018,86,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,"pop, Dance/Electronic",,,,,
Someone You Loved,Lewis Capaldi,SAD,182160,False,2019,84,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,pop,,,,,
Happy Ending,Abhijeet Bhattacharya,HAPPY,242413,True,2004,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,pop,,,,,
Love On ,Selena Gomez,HAPPY,207186,False,2002,60,0.683,0.722,8,-4.039,0,0.0358,0.0243,4.2e-05,0.35,0.854,95.012,pop,,,,,
Problems,Pinegrove,SCARED,193920,False,2014,73,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,pop,,,,,
Baby,Brandon,SCARED,265706,True,2002,55,0.567,0.58,4,-5.757,0,0.223,0.0084,5.37e-06,0.0342,0.46,157.596,"hip hop, pop, R&B",,,,,
Wake Me Up,Avicil,ANGRY,247426,False,2013,6,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,"pop, Dance/Electronic",,,,,
Since I been gone ,Kely  Clarkson,ANGRY,188960,False,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,"pop, R&B",,,,,
Skinny Love,Birdy,SAD,188373,,2016,12,0.425,0.152,4,-17.062,0,0.0547,0.908,0.924,0.0907,0.393,138.007,guitar,240367.0,1qYAgoBgm7S0Ps5IkxfPwV,4.0,,
I Lost a Friend,FINNEAS,SAD,180019,,2013,21,0.552,0.319,6,-20.667,0,0.0283,0.892,0.894,0.0988,0.0754,99.976,chill,62423.0,1PwChgaDXQWQqhtcXAkOJW,4.0,,
listen before i go,Billie Eilish,SAD,229625,,2019,22,0.425,0.0117,9,-24.166,0,0.0751,0.996,0.961,0.104,0.131,205.213,piano,406271.0,7IesNDpCf2aEM5vQj5Nnpk,4.0,,
Irreplaceable,Zak Manley,SAD,195866,,2013,0,0.743,0.938,8,-3.209,1,0.0624,0.0781,5.09e-06,0.147,0.778,125.028,afrobeat,56094.0,4KonXVmKrBimtbWOy4Ix6L,4.0,,
i love you,Billie Eilish,SAD,223206,,2012,31,0.616,0.738,8,-5.651,0,0.0333,0.0057,0.0,0.359,0.448,126.965,alt-rock,2314.0,3e2q1TijUvolULX7k9LmBM,4.0,,
goodbye,Billie Eilish,SAD,149400,,2012,12,0.463,0.034,11,-18.503,1,0.0364,0.929,0.000104,0.111,0.221,91.606,acoustic,410.0,3Tu5k1C7ui9VnoTZrYZn2u,3.0,,
idontwannabeyouanymore,Billie Eilish,SAD,203569,,2017,79,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,electro,271630.0,41zXlQxzTi6cGAjpOXyLYH,3.0,,
lovely (with Khalid),"Billie Eilish, Khalid",SAD,200186,,2018,87,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,pop,350203.0,0u2P5u6lvoDfwTYjAADbn4,4.0,,
Out Of Love,Alessia Cara,SAD,282865,,2018,9,0.602,0.539,2,-8.998,1,0.0719,0.00767,0.313,0.155,0.158,109.78,black-metal,313433.0,3xy3hCIr6GBlm9hGfwa0ZB,5.0,,
Bad Habit,Ben Platt,SAD,280267,,2013,41,0.565,0.848,11,-6.495,0,0.054,0.00613,0.43,0.115,0.417,121.102,alt-rock,57077.0,5dYOZd1oZCdsldO7JQMdDx,4.0,,
Words Fail,Ben Platt,SAD,351920,,2017,51,0.368,0.237,0,-9.49,1,0.0389,0.792,0.0,0.122,0.328,95.871,show-tunes,301993.0,32bZDrurIGh2Cts0l2tRtL,3.0,,
The Night We Met,Lord Huron,SAD,238880,,2021,46,0.613,0.256,0,-10.936,1,0.0305,0.814,5.19e-06,0.0777,0.101,116.605,acoustic,476824.0,4XgSJltrqGvZQaiUpcgfOi,4.0,,
Apocalypse,Cigarettes After Sex,SAD,362000,,2012,2,0.142,0.861,6,-6.926,0,0.0686,3.14e-06,0.196,0.505,0.27,70.607,goth,26878.0,132IKuLAyOgTNa9JQV4Rzb,4.0,,
Get You The Moon (feat. Snøw),"Kina, Snøw",SAD,179080,,2018,78,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,sad,355338.0,4ZLzoOkj0MPWrTLvooIuaa,4.0,,
Can We Kiss Forever?,"Kina, Adriana Proenza",SAD,187932,,2018,74,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,sad,355344.0,58wyJLv6yH1La9NIZPl3ne,4.0,,
Someone You Loved,Lewis Capaldi,SAD,182161,,2018,71,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,pop,350270.0,2TIlqbIneP0ZY1O0EzYLlc,4.0,,
Dil Dhadakne Do ,Joi Barua & Suraj Jagan,HAPPY,230319,,2011,59,0.778,0.599,2,-4.758,1,0.032,0.0705,0.0,0.59,0.949,116.951,indian,1439779.0,46elU7IBKWf55D5sjHGqO7,4.0,,
Ek Ladki Bheegi Bhaagi si,Kishore Kumar,HAPPY,170290,,2021,30,0.691,0.588,5,-8.495,0,0.21,0.585,1.52e-05,0.68,0.417,110.026,pop-film,515994.0,58kJygRAYppJpdIFEWuGGS,4.0,,
What We,Diljeet Dosanjh,HAPPY,247029,,2013,34,0.597,0.929,4,-4.603,0,0.104,0.000276,0.00017,0.353,0.194,112.078,alt-rock,57043.0,22QRzzwVlYG50tpCmcGfIO,4.0,,
Happy Ending,Abhijeet Bhattacharya,HAPPY,55634,,2012,9,0.657,0.506,8,-13.03,1,0.935,0.699,0.0,0.719,0.486,69.878,comedy,10721.0,1rKvVqYgLlNn9nIeTbqWoO,3.0,,
Ratchet Happy Birthday,Drake,HAPPY,207307,,2018,52,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958,hip-hop,341436.0,4SUwJA3eUVNHExxMPEUhQe,4.0,,
Love On ,Selena Gomez,HAPPY,201874,,2012,22,0.65,0.862,3,-3.401,0,0.0287,0.0446,0.0,0.148,0.6,126.0,k-pop,35842.0,0DMDJRy4j0K4QFEQfnCudr,4.0,,
I Know ?,Travis Scott,HAPPY,217440,,2012,1,0.471,0.936,2,-3.536,1,0.0653,0.000415,1.61e-05,0.133,0.499,149.951,heavy-metal,31954.0,6PtsuBThpZVl9mwhIUL7x3,4.0,,
"Thank u, next",Ariana Grande,HAPPY,207320,,2018,50,0.743,0.662,1,-5.745,1,0.0534,0.268,1.36e-06,0.102,0.408,107.027,dance,321252.0,4KBx9DSSbFaumwlEqjX4CP,4.0,,
Liggi,Ritviz,HAPPY,181176,,2021,67,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046,edm,493870.0,7tbzfR8ZvZzJEzy6v0d6el,4.0,,
Udd Gaye,Ritviz,HAPPY,180414,,2019,64,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,edm,383944.0,5ZsAhuQ24mWHiduaxJqnhW,4.0,,
Chalo Chalein,Ritviz,HAPPY,232800,,2020,42,0.725,0.58,6,-7.225,1,0.226,0.535,3.52e-06,0.117,0.346,100.037,indian,454018.0,44IKIiUEm9JVCrPw3Xs7GK,4.0,,
Baaraat,Ritviz,HAPPY,222096,,2021,61,0.678,0.449,4,-9.379,0,0.0869,0.477,0.0,0.536,0.606,100.033,edm,494038.0,0YLSjVxSb5FT1Bo8Tnxr8j,4.0,,
Sage,Ritviz,HAPPY,68354,,2017,51,0.0,0.199,1,-9.819,1,0.0,0.943,0.824,0.125,0.0,0.0,chill,260362.0,4rc6ONeC4GfjRPBxVPWhPT,0.0,,
Aaj Na,Ritviz,HAPPY,193426,,2022,60,0.659,0.345,11,-8.464,1,0.107,0.106,0.0,0.107,0.338,84.761,indian,561136.0,322TxW77VZdX9gHynK5Xue,4.0,,
Roz,Ritviz,HAPPY,219240,,2021,56,0.833,0.639,5,-6.964,1,0.0676,0.152,0.0,0.101,0.448,102.989,indian,507650.0,1rDQJd8kzwBRXeoTtojkQn,4.0,,
Jeet,Ritviz,HAPPY,184848,,2019,54,0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989,indian,398194.0,2nEntnpNpsJNhw1wLY8O96,4.0,,
doll,Shrimp,SCARED,279727,,2014,22,0.437,0.481,3,-7.156,1,0.0526,0.738,0.0,0.138,0.154,138.198,singer-songwriter,155354.0,0bEyKklqApiTP9nhZzYi4Y,4.0,,
talk every night,dyl dion,SCARED,130351,,2022,44,0.705,0.5,9,-9.164,1,0.0277,0.351,0.0172,0.237,0.68,105.016,chill,537689.0,0jmBNbkOd3Bi2Te4LXDWOm,4.0,,
Moonboy,Bennett Coast,SCARED,132231,,2020,53,0.507,0.375,9,-10.637,1,0.0256,0.855,0.00981,0.11,0.0519,90.006,chill,428990.0,3j4P8ytkoDpBFePPrXHEbe,4.0,,
would've been you,sombr,SCARED,263227,,2018,41,0.629,0.271,3,-9.658,1,0.0522,0.354,1.38e-05,0.17,0.2,125.833,chill,317130.0,3gAI3aE3aLJblp25UEH6zs,3.0,,
My rock song,Postcard Boy,SCARED,269267,,2002,13,0.686,0.412,3,-9.485,1,0.0331,0.778,0.0336,0.108,0.389,131.615,blues,800094.0,4GljQO2oEfusJBp0bdqkF6,4.0,,
